Journal name,JCR Abbreviation,2024 JIF,5 Year JIF,5 Year JIF Quartile,JIF Without Self Cites,Immediacy Index,Total Articles,Total Citations,Category,2023 JIF
Progress in Biomedical Engineering,PROG BIOMED ENG,7.7,7.3,Q1,7.7,1,2,569,"ENGINEERING, BIOMEDICAL",5
BME Frontiers,BME FRONT,7.7,8,Q1,7.6,1.3,14,618,"ENGINEERING, BIOMEDICAL",5
ACS Environmental Au,ACS ENVIRON AU,7.7,8.7,Q1,7.6,1.2,30,792,"ENGINEERING, ENVIRONMENTAL|ENVIRONMENTAL SCIENCES",6.7
Frontiers of Engineering Management,FRONT ENG MANAG,7.7,5.7,Q1,7.3,1.4,42,1474,"ENGINEERING, INDUSTRIAL",9.1
PLOS Digital Health,PLOS DIGIT HEALTH,7.7,7.7,Q1,7.6,0.7,204,2510,HEALTH CARE SCIENCES & SERVICES|MEDICAL INFORMATICS,NA
Journal of Hazardous Materials Advances,J HAZARD MATER ADV,7.7,7.6,Q1,7.6,1.5,148,3132,"ENGINEERING, ENVIRONMENTAL|ENVIRONMENTAL SCIENCES",5.4
INTERNATIONAL JOURNAL OF SUSTAINABLE DEVELOPMENT AND WORLD ECOLOGY,INT J SUST DEV WORLD,7.7,6.3,Q1,7.5,2.5,64,3917,ECOLOGY,6.5
INTERNATIONAL JOURNAL OF SUSTAINABLE DEVELOPMENT AND WORLD ECOLOGY,INT J SUST DEV WORLD,7.7,6.3,Q2,7.5,2.5,64,3917,GREEN & SUSTAINABLE SCIENCE & TECHNOLOGY,6.5
JACC-Clinical Electrophysiology,JACC-CLIN ELECTROPHY,7.7,7.2,Q1,7,2.4,186,7111,CARDIAC & CARDIOVASCULAR SYSTEMS,8
NEOPLASIA,NEOPLASIA,7.7,5.9,Q1,7.7,0.5,123,8043,ONCOLOGY,6.3
CRITICAL REVIEWS IN BIOTECHNOLOGY,CRIT REV BIOTECHNOL,7.7,10.1,Q1,7.6,1.4,0,8542,BIOTECHNOLOGY & APPLIED MICROBIOLOGY,8.1
Molecular Systems Biology,MOL SYST BIOL,7.7,10,Q1,7.5,1.4,67,10050,BIOCHEMISTRY & MOLECULAR BIOLOGY,8.5
Cell Systems,CELL SYST,7.7,11.2,Q1,7.5,1.3,78,10473,BIOCHEMISTRY & MOLECULAR BIOLOGY|CELL BIOLOGY,9
Composites Communications,COMPOS COMMUN,7.7,7.3,Q1,6.3,1.7,399,11655,"MATERIALS SCIENCE, COMPOSITES",6.5
CLINICAL SCIENCE,CLIN SCI,7.7,6.4,Q1,7.5,1.3,55,12590,"MEDICINE, RESEARCH & EXPERIMENTAL",6.7
PUBLICATIONS OF THE ASTRONOMICAL SOCIETY OF THE PACIFIC,PUBL ASTRON SOC PAC,7.7,6.8,Q1,7.4,1.1,113,17908,ASTRONOMY & ASTROPHYSICS,3.3
THORAX,THORAX,7.7,8.1,Q1,7.5,1.3,115,21854,RESPIRATORY SYSTEM,9
TRANSPORTATION RESEARCH PART D-TRANSPORT AND ENVIRONMENT,TRANSPORT RES D-TR E,7.7,9.1,Q1,6.7,1.6,422,25282,ENVIRONMENTAL STUDIES|TRANSPORTATION|TRANSPORTATION SCIENCE & TECHNOLOGY,7.3
FUEL PROCESSING TECHNOLOGY,FUEL PROCESS TECHNOL,7.7,7.1,Q1,7.6,1.5,86,26671,"CHEMISTRY, APPLIED|ENERGY & FUELS|ENGINEERING, CHEMICAL",7.2
BRIEFINGS IN BIOINFORMATICS,BRIEF BIOINFORM,7.7,8.7,Q1,7,1.5,674,27354,BIOCHEMICAL RESEARCH METHODS|MATHEMATICAL & COMPUTATIONAL BIOLOGY,6.8
ANNALS OF NEUROLOGY,ANN NEUROL,7.7,8.9,Q1,7.5,1.3,219,36289,CLINICAL NEUROLOGY|NEUROSCIENCES,8.1
BRITISH JOURNAL OF PHARMACOLOGY,BRIT J PHARMACOL,7.7,7.3,Q1,5.9,0.9,241,36856,PHARMACOLOGY & PHARMACY,6.8
GENES & DEVELOPMENT,GENE DEV,7.7,10.2,Q1,7.6,1,46,44673,CELL BIOLOGY|DEVELOPMENTAL BIOLOGY|GENETICS & HEREDITY,7.5
ENVIRONMENTAL RESEARCH,ENVIRON RES,7.7,7.7,Q1,7.3,2,2067,89709,"ENVIRONMENTAL SCIENCES|PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH",7.7
SENSORS AND ACTUATORS B-CHEMICAL,SENSOR ACTUAT B-CHEM,7.7,7.4,Q1,7.1,2.5,1198,125758,"CHEMISTRY, ANALYTICAL|ELECTROCHEMISTRY|INSTRUMENTS & INSTRUMENTATION",8
China Finance Review International,CHINA FINANC REV INT,7.6,5.8,Q1,7.2,0.9,41,1063,"BUSINESS, FINANCE",9
Sensors and Actuators Reports,SENSOR ACTUATOR REP,7.6,7.2,Q1,7.5,1.6,81,1369,"BIOTECHNOLOGY & APPLIED MICROBIOLOGY|CHEMISTRY, ANALYTICAL|ELECTROCHEMISTRY|INSTRUMENTS & INSTRUMENTATION",6.5
Sensors and Actuators Reports,SENSOR ACTUATOR REP,7.6,7.2,Q2,7.5,1.6,81,1369,NANOSCIENCE & NANOTECHNOLOGY,6.5
Green Chemical Engineering,GREEN CHEM ENG,7.6,8.1,Q1,7.4,7.5,36,1516,"ENGINEERING, CHEMICAL",9.1
Bio-Design and Manufacturing,BIO-DES MANUF,7.6,7.8,Q1,7.2,1.9,40,1854,"ENGINEERING, BIOMEDICAL",8.1
BMJ Evidence-Based Medicine,BMJ EVID-BASED MED,7.6,7.2,Q1,7.1,1.2,46,1917,"MEDICINE, GENERAL & INTERNAL",9
Food Engineering Reviews,FOOD ENG REV,7.6,8.9,Q1,7.5,1.6,1,2975,FOOD SCIENCE & TECHNOLOGY,5.3
npj Materials Degradation,NPJ MAT DEGRAD,7.6,7.5,Q1,7.3,1.2,117,3273,"MATERIALS SCIENCE, MULTIDISCIPLINARY",6.6
Lancet Regional Health-Americas,LANCET REG HEALTH-AM,7.6,7.6,Q1,7.5,2.2,155,3493,"HEALTH CARE SCIENCES & SERVICES|PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH",7
npj Breast Cancer,NPJ BREAST CANCER,7.6,7.3,Q1,7.4,1.5,94,4193,ONCOLOGY,6.5
Energy Conversion and Management-X,ENERG CONVERS MAN-X,7.6,8.1,Q1,6.5,2.3,314,4467,ENERGY & FUELS|MECHANICS|THERMODYNAMICS,7.1
PHYTOCHEMISTRY REVIEWS,PHYTOCHEM REV,7.6,9,Q1,7.5,0.9,3,6079,PLANT SCIENCES,7.3
PROGRESS IN CARDIOVASCULAR DISEASES,PROG CARDIOVASC DIS,7.6,6.9,Q1,6.5,2.4,0,6379,CARDIAC & CARDIOVASCULAR SYSTEMS,5.6
Internet of Things,INTERNET THINGS-NETH,7.6,7.1,Q1,7,1.5,372,6511,"COMPUTER SCIENCE, INFORMATION SYSTEMS|ENGINEERING, ELECTRICAL & ELECTRONIC|TELECOMMUNICATIONS",6
PROGRESS IN PHOTOVOLTAICS,PROG PHOTOVOLTAICS,7.6,6.3,Q1,7.2,3.1,91,7753,"PHYSICS, APPLIED",8
PROGRESS IN PHOTOVOLTAICS,PROG PHOTOVOLTAICS,7.6,6.3,Q2,7.2,3.1,91,7753,"ENERGY & FUELS|MATERIALS SCIENCE, MULTIDISCIPLINARY",8
International Journal of Consumer Studies,INT J CONSUM STUD,7.6,9.7,Q1,6.3,1.7,63,8324,BUSINESS,8.6
Science China-Information Sciences,SCI CHINA INFORM SCI,7.6,6.8,Q1,6.8,2.5,226,8933,"COMPUTER SCIENCE, INFORMATION SYSTEMS|ENGINEERING, ELECTRICAL & ELECTRONIC",7.3
Mucosal Immunology,MUCOSAL IMMUNOL,7.6,7.8,Q1,7.5,1.3,84,10575,IMMUNOLOGY,7.9
Alzheimers Research & Therapy,ALZHEIMERS RES THER,7.6,8.8,Q1,7.3,1.5,247,11801,CLINICAL NEUROLOGY|NEUROSCIENCES,7.9
FRONTIERS IN ECOLOGY AND THE ENVIRONMENT,FRONT ECOL ENVIRON,7.6,11.9,Q1,7.5,1,19,13474,ECOLOGY|ENVIRONMENTAL SCIENCES,10
ORGANIZATIONAL RESEARCH METHODS,ORGAN RES METHODS,7.6,14.2,Q1,7.4,1,20,13561,"MANAGEMENT|PSYCHOLOGY, APPLIED",8.9
BIOSCIENCE,BIOSCIENCE,7.6,10.5,Q1,7.4,1.9,62,21185,BIOLOGY,7.6
BRITISH JOURNAL OF PSYCHIATRY,BRIT J PSYCHIAT,7.6,8.8,Q1,7.4,1.1,57,23353,PSYCHIATRY,8.7
EUROPEAN JOURNAL OF NUCLEAR MEDICINE AND MOLECULAR IMAGING,EUR J NUCL MED MOL I,7.6,7.9,Q1,6.8,1.5,322,23795,"RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING",8.6
BRAIN BEHAVIOR AND IMMUNITY,BRAIN BEHAV IMMUN,7.6,9,Q1,7.1,1.2,404,27294,IMMUNOLOGY|NEUROSCIENCES|PSYCHIATRY,8.8
AMERICAN JOURNAL OF GASTROENTEROLOGY,AM J GASTROENTEROL,7.6,8.9,Q1,7.3,2.5,291,32950,GASTROENTEROLOGY & HEPATOLOGY,8
MOVEMENT DISORDERS,MOVEMENT DISORD,7.6,7.8,Q1,6.9,1.4,202,33392,CLINICAL NEUROLOGY,7.4
PATTERN RECOGNITION,PATTERN RECOGN,7.6,7.9,Q1,6.1,1.2,965,44785,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE|ENGINEERING, ELECTRICAL & ELECTRONIC",7.5
KNOWLEDGE-BASED SYSTEMS,KNOWL-BASED SYST,7.6,7.6,Q1,6.7,1.3,1350,44949,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",7.2
BUILDING AND ENVIRONMENT,BUILD ENVIRON,7.6,7.9,Q1,6.1,1.5,1057,66017,"CONSTRUCTION & BUILDING TECHNOLOGY|ENGINEERING, CIVIL|ENGINEERING, ENVIRONMENTAL",7.1
Carbon Resources Conversion,CARBON RES CONVERS,7.5,7,Q1,6.9,4.5,38,1447,"ENGINEERING, CHEMICAL",6.4
Carbon Resources Conversion,CARBON RES CONVERS,7.5,7,Q2,6.9,4.5,38,1447,ENERGY & FUELS,6.4
Water Resources and Industry,WATER RESOUR IND,7.5,5.9,Q1,7.2,2.1,32,1571,WATER RESOURCES,4.5
Annual Review of Analytical Chemistry,ANNU REV ANAL CHEM,7.5,8.9,Q1,7.5,1.8,3,2706,"CHEMISTRY, ANALYTICAL|SPECTROSCOPY",5.9
Digital Communications and Networks,DIGIT COMMUN NETW,7.5,6.8,Q1,7.3,2.7,172,3490,TELECOMMUNICATIONS,7.5
JHEP Reports,JHEP REP,7.5,8.5,Q1,7.3,1.7,141,4930,GASTROENTEROLOGY & HEPATOLOGY,9.5
Animal Nutrition,ANIM NUTR,7.5,7.3,Q1,7.2,1.6,133,6025,"AGRICULTURE, DAIRY & ANIMAL SCIENCE|VETERINARY SCIENCES",6.1
Neurology-Neuroimmunology & Neuroinflammation,NEUROL-NEUROIMMUNOL,7.5,7.4,Q1,7.1,1.9,121,6102,CLINICAL NEUROLOGY|NEUROSCIENCES,7.8
INTERNATIONAL JOURNAL OF RESEARCH IN MARKETING,INT J RES MARK,7.5,8.5,Q1,7.3,2.8,40,6426,BUSINESS,5.9
Science China-Physics Mechanics & Astronomy,SCI CHINA PHYS MECH,7.5,6,Q1,6.8,2.8,206,7413,"PHYSICS, MULTIDISCIPLINARY",6.4
ARCHIVES OF PHARMACAL RESEARCH,ARCH PHARM RES,7.5,6.7,Q1,7.1,1.5,22,8658,"CHEMISTRY, MEDICINAL|PHARMACOLOGY & PHARMACY",6.9
CHEMICAL RECORD,CHEM REC,7.5,7.2,Q1,7.3,1.6,4,9313,"CHEMISTRY, MULTIDISCIPLINARY",7
IEEE Transactions on Dependable and Secure Computing,IEEE T DEPEND SECURE,7.5,7.1,Q1,7.1,1.6,386,9635,"COMPUTER SCIENCE, HARDWARE & ARCHITECTURE|COMPUTER SCIENCE, INFORMATION SYSTEMS|COMPUTER SCIENCE, SOFTWARE ENGINEERING",7
Emerging Microbes & Infections,EMERG MICROBES INFEC,7.5,7.2,Q1,7.2,1.8,267,10566,IMMUNOLOGY|INFECTIOUS DISEASES|MICROBIOLOGY,8.4
INTERNATIONAL JOURNAL OF PROJECT MANAGEMENT,INT J PROJ MANAG,7.5,8.9,Q1,5.8,1.7,46,11612,MANAGEMENT,7.4
European Journal of Preventive Cardiology,EUR J PREV CARDIOL,7.5,7.6,Q1,6.8,2.6,200,11766,CARDIAC & CARDIOVASCULAR SYSTEMS,8.4
ECOLOGICAL MONOGRAPHS,ECOL MONOGR,7.5,9,Q1,7.4,1.1,27,12416,ECOLOGY,7.1
CURRENT OPINION IN MICROBIOLOGY,CURR OPIN MICROBIOL,7.5,8.3,Q1,7.1,1.4,0,12872,MICROBIOLOGY,5.9
CURRENT OPINION IN PLANT BIOLOGY,CURR OPIN PLANT BIOL,7.5,9.1,Q1,7.3,0.8,0,17836,PLANT SCIENCES,8.3
INDUSTRIAL MARKETING MANAGEMENT,IND MARKET MANAG,7.5,9,Q1,6.4,1.4,152,18688,BUSINESS|MANAGEMENT,7.8
DRUG DISCOVERY TODAY,DRUG DISCOV TODAY,7.5,8.1,Q1,7.4,1.9,0,22695,PHARMACOLOGY & PHARMACY,6.5
GASTROINTESTINAL ENDOSCOPY,GASTROINTEST ENDOSC,7.5,7.3,Q1,6.7,2.3,188,24376,GASTROENTEROLOGY & HEPATOLOGY,6.7
Journal of Translational Medicine,J TRANSL MED,7.5,7,Q1,7.3,1.5,893,31533,"MEDICINE, RESEARCH & EXPERIMENTAL",6.1
JOURNAL OF NEUROLOGY NEUROSURGERY AND PSYCHIATRY,J NEUROL NEUROSUR PS,7.5,9.6,Q1,7.4,1.2,131,32555,CLINICAL NEUROLOGY|PSYCHIATRY|SURGERY,8.7
INTERNATIONAL JOURNAL OF ROCK MECHANICS AND MINING SCIENCES,INT J ROCK MECH MIN,7.5,8.8,Q1,7,1.7,285,38049,"ENGINEERING, GEOLOGICAL|MINING & MINERAL PROCESSING",7
JOURNAL OF MATERIALS PROCESSING TECHNOLOGY,J MATER PROCESS TECH,7.5,7.1,Q1,7,2,319,44909,"ENGINEERING, INDUSTRIAL|ENGINEERING, MANUFACTURING|MATERIALS SCIENCE, MULTIDISCIPLINARY",6.7
DIABETES,DIABETES,7.5,7.2,Q1,7.3,2.5,136,45761,ENDOCRINOLOGY & METABOLISM,6.2
CURRENT BIOLOGY,CURR BIOL,7.5,9.3,Q1,7.3,2,522,77929,BIOCHEMISTRY & MOLECULAR BIOLOGY|BIOLOGY|CELL BIOLOGY,8.1
BIOMEDICINE & PHARMACOTHERAPY,BIOMED PHARMACOTHER,7.5,7.7,Q1,7.3,1.7,957,82328,"MEDICINE, RESEARCH & EXPERIMENTAL|PHARMACOLOGY & PHARMACY",6.9
EXPERT SYSTEMS WITH APPLICATIONS,EXPERT SYST APPL,7.5,7.8,Q1,6.8,1.5,2836,102444,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE|ENGINEERING, ELECTRICAL & ELECTRONIC|OPERATIONS RESEARCH & MANAGEMENT SCIENCE",7.5
Fuel,FUEL,7.5,7.1,Q1,6.7,1.7,3011,166539,"ENERGY & FUELS|ENGINEERING, CHEMICAL",6.7
Materials Today Electronics,MATER TODAY ELECTRON,7.4,7.4,Q1,7.3,2.2,30,527,"MATERIALS SCIENCE, MULTIDISCIPLINARY|PHYSICS, APPLIED",NA
Materials Today Electronics,MATER TODAY ELECTRON,7.4,7.4,Q2,7.3,2.2,30,527,NANOSCIENCE & NANOTECHNOLOGY,NA
RIVISTA DEL NUOVO CIMENTO,RIV NUOVO CIMENTO,7.4,4.8,Q1,7.4,2.1,0,1108,"PHYSICS, MULTIDISCIPLINARY",5.9
Fuzzy Optimization and Decision Making,FUZZY OPTIM DECIS MA,7.4,4.9,Q1,6.1,2.6,19,1317,OPERATIONS RESEARCH & MANAGEMENT SCIENCE,4.8
Fuzzy Optimization and Decision Making,FUZZY OPTIM DECIS MA,7.4,4.9,Q2,6.1,2.6,19,1317,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",4.8
Journal of Translational Internal Medicine,J TRANSL INTERN MED,7.4,5.3,Q1,7.1,1,42,1325,"MEDICINE, GENERAL & INTERNAL",4.7
REDOX REPORT,REDOX REP,7.4,6.4,Q1,7.3,1.5,39,2380,BIOCHEMISTRY & MOLECULAR BIOLOGY,5.2
AMYLOID-JOURNAL OF PROTEIN FOLDING DISORDERS,AMYLOID,7.4,6.3,Q1,6.8,0.8,37,2447,"BIOCHEMISTRY & MOLECULAR BIOLOGY|MEDICINE, GENERAL & INTERNAL|MEDICINE, RESEARCH & EXPERIMENTAL",5.2
Information Processing in Agriculture,INFORM PROCESS AGR,7.4,N/A,N/A,7.1,4.2,44,2704,"AGRICULTURE, MULTIDISCIPLINARY|COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS",7.7
Journal of Business Logistics,J BUS LOGIST,7.4,10.6,Q1,6,2.9,17,3632,MANAGEMENT,11.2
Patterns,PATTERNS,7.4,7.7,Q1,7.3,1.9,81,3646,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE|COMPUTER SCIENCE, INFORMATION SYSTEMS|COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS",6.7
SERVICE INDUSTRIES JOURNAL,SERV IND J,7.4,7.4,Q1,6.3,1.9,45,4401,MANAGEMENT,7.4
International Journal of Management Education,INT J MANAG EDUC-OXF,7.4,7.2,Q1,5.6,1.5,155,4616,BUSINESS|EDUCATION & EDUCATIONAL RESEARCH|MANAGEMENT,6
Journal of Destination Marketing & Management,J DESTIN MARK MANAGE,7.4,9.2,Q1,6.7,1.6,92,5512,"HOSPITALITY, LEISURE, SPORT & TOURISM|MANAGEMENT",8.9
Food Science and Human Wellness,FOOD SCI HUM WELL,7.4,7.8,Q1,7.2,2.8,297,6386,FOOD SCIENCE & TECHNOLOGY|NUTRITION & DIETETICS,5.6
Cellular and Molecular Gastroenterology and Hepatology,CELL MOL GASTROENTER,7.4,8.1,Q1,7.2,1.9,81,6848,GASTROENTEROLOGY & HEPATOLOGY,7.1
CNS DRUGS,CNS DRUGS,7.4,7,Q1,7.2,1.5,47,6972,CLINICAL NEUROLOGY|PHARMACOLOGY & PHARMACY|PSYCHIATRY,7.4
Circulation-Cardiovascular Interventions,CIRC-CARDIOVASC INTE,7.4,7,Q1,7.2,1.8,90,7254,CARDIAC & CARDIOVASCULAR SYSTEMS,6.1
INTERNATIONAL JOURNAL OF OPERATIONS & PRODUCTION MANAGEMENT,INT J OPER PROD MAN,7.4,9.6,Q1,6.3,1.8,86,10068,MANAGEMENT,7.1
JOURNAL OF INTELLIGENT MANUFACTURING,J INTELL MANUF,7.4,7.7,Q1,6.4,1.3,235,10691,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE|ENGINEERING, MANUFACTURING",5.9
Science China-Materials,SCI CHINA MATER,7.4,6.5,Q1,6.9,2.3,369,12427,"MATERIALS SCIENCE, MULTIDISCIPLINARY",6.8
REVIEW OF EDUCATIONAL RESEARCH,REV EDUC RES,7.4,15.4,Q1,7.3,1,41,13908,EDUCATION & EDUCATIONAL RESEARCH,8.3
EUROPACE,EUROPACE,7.4,6.5,Q1,6,2.1,206,16338,CARDIAC & CARDIOVASCULAR SYSTEMS,7.9
Obesity Reviews,OBES REV,7.4,9.6,Q1,7.2,1.2,3,17947,ENDOCRINOLOGY & METABOLISM,8
SPACE SCIENCE REVIEWS,SPACE SCI REV,7.4,10,Q1,6.8,3.7,0,18064,ASTRONOMY & ASTROPHYSICS,9.1
DIABETES RESEARCH AND CLINICAL PRACTICE,DIABETES RES CLIN PR,7.4,6,Q1,7.2,0.9,321,22010,ENDOCRINOLOGY & METABOLISM,6.1
Energy Research & Social Science,ENERGY RES SOC SCI,7.4,7.9,Q1,6,1.2,453,22343,ENVIRONMENTAL STUDIES,6.9
Energy Research & Social Science,ENERGY RES SOC SCI,7.4,7.9,Q2,6,1.2,453,22343,GREEN & SUSTAINABLE SCIENCE & TECHNOLOGY,6.9
CLINICAL NUTRITION,CLIN NUTR,7.4,7.2,Q1,7,1.8,263,27034,NUTRITION & DIETETICS,6.6
POLYMER DEGRADATION AND STABILITY,POLYM DEGRAD STABIL,7.4,6.7,Q1,6.6,1.5,384,32567,POLYMER SCIENCE,6.3
ARTERIOSCLEROSIS THROMBOSIS AND VASCULAR BIOLOGY,ARTERIOSCL THROM VAS,7.4,8.6,Q1,7.1,2.1,153,34597,HEMATOLOGY|PERIPHERAL VASCULAR DISEASE,7.4
TUNNELLING AND UNDERGROUND SPACE TECHNOLOGY,TUNN UNDERGR SP TECH,7.4,8,Q1,6.1,1.5,640,34932,"CONSTRUCTION & BUILDING TECHNOLOGY|ENGINEERING, CIVIL",6.7
Journal of Building Engineering,J BUILD ENG,7.4,7.5,Q1,6.3,2,2990,66284,"CONSTRUCTION & BUILDING TECHNOLOGY|ENGINEERING, CIVIL",6.7
Ecological Indicators,ECOL INDIC,7.4,7.2,Q1,6.6,1.7,1481,70651,ENVIRONMENTAL SCIENCES,7
Chemical Science,CHEM SCI,7.4,7.8,Q1,7,1.8,1720,92501,"CHEMISTRY, MULTIDISCIPLINARY",7.6
Pulse,PULSE,7.3,3.3,Q2,6.4,1.7,6,382,PERIPHERAL VASCULAR DISEASE,3.8
Bottom Line,BOTTOM LINE,7.3,6.4,Q1,4.5,1.1,40,602,INFORMATION SCIENCE & LIBRARY SCIENCE,8
NEW TECHNOLOGY WORK AND EMPLOYMENT,NEW TECH WORK EMPLOY,7.3,7.2,Q1,6.3,0.3,32,1935,ERGONOMICS|MANAGEMENT,4.5
CAAI Transactions on Intelligence Technology,CAAI T INTELL TECHNO,7.3,6.4,Q1,7,0.8,113,2395,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",8.4
PERSOONIA,PERSOONIA,7.3,11.1,Q1,7.3,3.2,6,3192,MYCOLOGY,9.5
ORGANIZATION & ENVIRONMENT,ORGAN ENVIRON,7.3,7.5,Q1,6.6,1.5,21,3374,ENVIRONMENTAL STUDIES|MANAGEMENT,4.2
International Soil and Water Conservation Research,INT SOIL WATER CONSE,7.3,8.5,Q1,7.1,4.4,65,3748,ENVIRONMENTAL SCIENCES|SOIL SCIENCE|WATER RESOURCES,7.3
INTERNATIONAL JOURNAL OF PHYSICAL DISTRIBUTION & LOGISTICS MANAGEMENT,INT J PHYS DISTR LOG,7.3,8.2,Q1,6.5,1.5,45,5468,MANAGEMENT,5.9
PEDOSPHERE,PEDOSPHERE,7.3,6.2,Q1,7.2,2.3,89,6070,SOIL SCIENCE,5.2
European Management Journal,EUR MANAG J,7.3,7.4,Q1,7.1,2.7,82,7114,BUSINESS|MANAGEMENT,7.5
mAbs,MABS-AUSTIN,7.3,6,Q1,6.6,1.8,82,7245,"MEDICINE, RESEARCH & EXPERIMENTAL",5.6
CALIFORNIA MANAGEMENT REVIEW,CALIF MANAGE REV,7.3,15.6,Q1,6.8,1.4,25,8024,BUSINESS|MANAGEMENT,6.3
Cell Reports Physical Science,CELL REP PHYS SCI,7.3,8.2,Q1,7.2,1.5,410,11867,"CHEMISTRY, MULTIDISCIPLINARY|ENERGY & FUELS|MATERIALS SCIENCE, MULTIDISCIPLINARY|PHYSICS, MULTIDISCIPLINARY",7.9
Ecological Informatics,ECOL INFORM,7.3,7.1,Q1,5.6,2.3,509,12572,ECOLOGY,5.8
CHINESE MEDICAL JOURNAL,CHINESE MED J-PEKING,7.3,5.9,Q1,7,1.6,139,14639,"MEDICINE, GENERAL & INTERNAL",7.5
IEEE-ASME TRANSACTIONS ON MECHATRONICS,IEEE-ASME T MECH,7.3,7.1,Q1,6.3,0.7,520,24053,"AUTOMATION & CONTROL SYSTEMS|ENGINEERING, ELECTRICAL & ELECTRONIC|ENGINEERING, MANUFACTURING|ENGINEERING, MECHANICAL",6.1
Stem Cell Research & Therapy,STEM CELL RES THER,7.3,7.9,Q1,6.9,0.9,364,26143,"CELL & TISSUE ENGINEERING|CELL BIOLOGY|MEDICINE, RESEARCH & EXPERIMENTAL",7.1
PROGRESS IN ORGANIC COATINGS,PROG ORG COAT,7.3,7,Q1,6.4,1.9,696,31764,"CHEMISTRY, APPLIED|MATERIALS SCIENCE, COATINGS & FILMS",6.5
INTERNATIONAL JOURNAL OF PRODUCTION RESEARCH,INT J PROD RES,7.3,8.8,Q1,6,1.2,323,36654,"ENGINEERING, INDUSTRIAL|ENGINEERING, MANUFACTURING|OPERATIONS RESEARCH & MANAGEMENT SCIENCE",7
COMPUTER METHODS IN APPLIED MECHANICS AND ENGINEERING,COMPUT METHOD APPL M,7.3,7.5,Q1,6.1,1.4,810,56002,"ENGINEERING, MULTIDISCIPLINARY|MATHEMATICS, INTERDISCIPLINARY APPLICATIONS|MECHANICS",6.9
ONCOGENE,ONCOGENE,7.3,7.4,Q1,7.2,1.4,260,60082,BIOCHEMISTRY & MOLECULAR BIOLOGY|CELL BIOLOGY|GENETICS & HEREDITY|ONCOLOGY,6.9
CLINICAL INFECTIOUS DISEASES,CLIN INFECT DIS,7.3,7.2,Q1,7,2.1,394,77846,IMMUNOLOGY|INFECTIOUS DISEASES|MICROBIOLOGY,8.2
ACS Sustainable Chemistry & Engineering,ACS SUSTAIN CHEM ENG,7.3,8,Q1,6.9,1.7,1584,107229,"CHEMISTRY, MULTIDISCIPLINARY|ENGINEERING, CHEMICAL",7.1
ACS Sustainable Chemistry & Engineering,ACS SUSTAIN CHEM ENG,7.3,8,Q2,6.9,1.7,1584,107229,GREEN & SUSTAINABLE SCIENCE & TECHNOLOGY,7.1
ENVIRONMENTAL POLLUTION,ENVIRON POLLUT,7.3,8.1,Q1,6.9,1.5,1931,138069,ENVIRONMENTAL SCIENCES,7.6
Journal of Consumer Sciences,J CONSUM SCI,7.2,3.8,Q1,7,0.1,7,131,"SOCIAL SCIENCES, INTERDISCIPLINARY",NA
Digital Business,DIGIT BUS,7.2,7.3,Q1,6.2,1,29,514,BUSINESS|MANAGEMENT,NA
Journal of Future Foods,J FUTURE FOODS,7.2,8.1,Q1,7.1,6.4,35,1070,FOOD SCIENCE & TECHNOLOGY,5.2
PROGRESS IN SURFACE SCIENCE,PROG SURF SCI,7.2,8.1,Q1,6.7,1.7,0,2018,"CHEMISTRY, PHYSICAL|PHYSICS, CONDENSED MATTER",8.7
Current Forestry Reports,CURR FOR REP,7.2,11.9,Q1,7.1,1.9,2,2186,FORESTRY,9
Sustainability Accounting Management and Policy Journal,SUSTAIN ACCOUNT MANA,7.2,7.4,Q1,6.4,1.2,72,2906,"BUSINESS, FINANCE|ENVIRONMENTAL STUDIES|MANAGEMENT",5.2
Financial Innovation,FINANC INNOV,7.2,7.5,Q1,6.3,1.8,135,3429,"BUSINESS, FINANCE|SOCIAL SCIENCES, MATHEMATICAL METHODS",6.9
IEEE Vehicular Technology Magazine,IEEE VEH TECHNOL MAG,7.2,11.3,Q1,7.1,1.9,48,3486,"ENGINEERING, ELECTRICAL & ELECTRONIC|TELECOMMUNICATIONS|TRANSPORTATION SCIENCE & TECHNOLOGY",5.8
Earth System Dynamics,EARTH SYST DYNAM,7.2,7.9,Q1,6.9,1.1,69,4171,"GEOSCIENCES, MULTIDISCIPLINARY",7.9
JACC-Basic to Translational Science,JACC-BASIC TRANSL SC,7.2,8.4,Q1,7.1,2.4,66,4274,CARDIAC & CARDIOVASCULAR SYSTEMS,8.4
