Journal name,JCR Abbreviation,2023 JIF,5 Year JIF,5 Year JIF Quartile,JIF Without Self Cites,Immediacy Index,Total Articles,Total Citations,Category
JOURNAL OF OPERATIONS MANAGEMENT,J OPER MANAG,6.5,9.2,Q1,5.8,1.6,39,11113,MANAGEMENT|OPERATIONS RESEARCH & MANAGEMENT SCIENCE
DRUG DELIVERY,DRUG DELIV,6.5,6.7,Q1,6.4,2.5,105,11758,PHARMACOLOGY & PHARMACY
Case Studies in Construction Materials,CASE STUD CONSTR MAT,6.5,6.4,Q1,5.8,1.5,945,12515,"CONSTRUCTION & BUILDING TECHNOLOGY|ENGINEERING, CIVIL|MATERIALS SCIENCE, MULTIDISCIPLINARY"
Nanophotonics,NANOPHOTONICS-BERLIN,6.5,7.4,Q1,6.2,1.7,321,12901,"MATERIALS SCIENCE, MULTIDISCIPLINARY|OPTICS|PHYSICS, APPLIED"
Nanophotonics,NANOPHOTONICS-BERLIN,6.5,7.4,Q2,6.2,1.7,321,12901,NANOSCIENCE & NANOTECHNOLOGY
Molecular Therapy Nucleic Acids,MOL THER NUCL ACIDS,6.5,6.7,Q1,6.4,1.3,209,12909,"MEDICINE, RESEARCH & EXPERIMENTAL"
SMALL BUSINESS ECONOMICS,SMALL BUS ECON,6.5,7.6,Q1,5.8,0.8,136,13841,BUSINESS|ECONOMICS|MANAGEMENT
OncoImmunology,ONCOIMMUNOLOGY,6.5,7.2,Q1,6.3,1.2,110,15263,IMMUNOLOGY|ONCOLOGY
RESUSCITATION,RESUSCITATION,6.5,5.4,Q1,5.4,2.1,196,17915,CRITICAL CARE MEDICINE|EMERGENCY MEDICINE
EMBO REPORTS,EMBO REP,6.5,8.3,Q1,6.4,1.1,235,20112,BIOCHEMISTRY & MOLECULAR BIOLOGY|CELL BIOLOGY
DRUG DISCOVERY TODAY,DRUG DISCOV TODAY,6.5,7.3,Q1,6.3,1.6,0,20665,PHARMACOLOGY & PHARMACY
JOURNAL OF CHILD PSYCHOLOGY AND PSYCHIATRY,J CHILD PSYCHOL PSYC,6.5,8,Q1,6.2,1.5,91,21180,"PSYCHIATRY|PSYCHOLOGY|PSYCHOLOGY, DEVELOPMENTAL"
ACS Photonics,ACS PHOTONICS,6.5,6.6,Q1,6.2,1.2,459,22372,"MATERIALS SCIENCE, MULTIDISCIPLINARY|OPTICS|PHYSICS, APPLIED|PHYSICS, CONDENSED MATTER"
ACS Photonics,ACS PHOTONICS,6.5,6.6,Q2,6.2,1.2,459,22372,NANOSCIENCE & NANOTECHNOLOGY
PROGRESS IN ORGANIC COATINGS,PROG ORG COAT,6.5,6,Q1,5.6,1.6,611,25418,"CHEMISTRY, APPLIED|MATERIALS SCIENCE, COATINGS & FILMS"
STRATEGIC MANAGEMENT JOURNAL,STRATEGIC MANAGE J,6.5,12,Q1,6,1.2,85,44941,BUSINESS|MANAGEMENT
IEEE TRANSACTIONS ON POWER SYSTEMS,IEEE T POWER SYST,6.5,7.4,Q1,5.7,2.5,495,47145,"ENGINEERING, ELECTRICAL & ELECTRONIC"
JOURNAL OF CATALYSIS,J CATAL,6.5,7,Q1,6.2,1.3,377,49197,"ENGINEERING, CHEMICAL"
JOURNAL OF CATALYSIS,J CATAL,6.5,7,Q2,6.2,1.3,377,49197,"CHEMISTRY, PHYSICAL"
AMERICAN JOURNAL OF CLINICAL NUTRITION,AM J CLIN NUTR,6.5,7,Q1,6.2,1.9,220,54430,NUTRITION & DIETETICS
PLANT PHYSIOLOGY,PLANT PHYSIOL,6.5,7.6,Q1,6.1,1.6,514,93096,PLANT SCIENCES
Machine Intelligence Research,MACH INTELL RES,6.4,6.4,Q1,5.6,2.5,49,354,"AUTOMATION & CONTROL SYSTEMS|COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE"
Carbon Resources Conversion,CARBON RES CONVERS,6.4,7.1,Q1,5.7,2.7,26,1054,"ENERGY & FUELS|ENGINEERING, CHEMICAL"
Reviews in Fisheries Science & Aquaculture,REV FISH SCI AQUAC,6.4,9.8,Q1,6.2,0.6,9,1927,FISHERIES
npj Regenerative Medicine,NPJ REGEN MED,6.4,7.9,Q1,6.3,1.3,62,2128,"CELL & TISSUE ENGINEERING|ENGINEERING, BIOMEDICAL"
Current Pollution Reports,CURR POLLUT REP,6.4,8.2,Q1,6.1,1.6,19,2159,"ENVIRONMENTAL SCIENCES|PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH"
International Review of Sport and Exercise Psychology,INT REV SPORT EXER P,6.4,9.2,Q1,6,1,6,2170,"HOSPITALITY, LEISURE, SPORT & TOURISM|PSYCHOLOGY, APPLIED"
JOURNAL OF TOXICOLOGY AND ENVIRONMENTAL HEALTH-PART B-CRITICAL REVIEWS,J TOXICOL ENV HEAL B,6.4,8.6,Q1,6.1,3.7,0,2281,"ENVIRONMENTAL SCIENCES|PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH|TOXICOLOGY"
Advances in Climate Change Research,ADV CLIM CHANG RES,6.4,6.9,Q1,6.1,1.1,88,2699,ENVIRONMENTAL SCIENCES|METEOROLOGY & ATMOSPHERIC SCIENCES
MUTATION RESEARCH-REVIEWS IN MUTATION RESEARCH,MUTAT RES-REV MUTAT,6.4,6.4,Q1,6.3,0.7,13,3694,BIOTECHNOLOGY & APPLIED MICROBIOLOGY|GENETICS & HEREDITY|TOXICOLOGY
Wiley Interdisciplinary Reviews-RNA,WIRES RNA,6.4,7.2,Q1,6.3,0.6,9,4050,CELL BIOLOGY
Wiley Interdisciplinary Reviews-Data Mining and Knowledge Discovery,WIRES DATA MIN KNOWL,6.4,12.5,Q1,6.3,2.5,10,4096,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE|COMPUTER SCIENCE, THEORY & METHODS"
Internet and Higher Education,INTERNET HIGH EDUC,6.4,8,Q1,6.2,1.2,13,4706,EDUCATION & EDUCATIONAL RESEARCH
Soft Robotics,SOFT ROBOT,6.4,13.3,Q1,6.1,0.5,79,5530,ROBOTICS
Science China-Physics Mechanics & Astronomy,SCI CHINA PHYS MECH,6.4,4.9,Q1,5.8,2.5,171,5755,"PHYSICS, MULTIDISCIPLINARY"
Translational Research,TRANSL RES,6.4,7.2,Q1,6.4,2.6,77,6757,"MEDICAL LABORATORY TECHNOLOGY|MEDICINE, GENERAL & INTERNAL|MEDICINE, RESEARCH & EXPERIMENTAL"
Agronomy for Sustainable Development,AGRON SUSTAIN DEV,6.4,7.9,Q1,6,1.7,65,10023,AGRONOMY
Agronomy for Sustainable Development,AGRON SUSTAIN DEV,6.4,7.9,Q2,6,1.7,65,10023,GREEN & SUSTAINABLE SCIENCE & TECHNOLOGY
JOURNAL OF HEART AND LUNG TRANSPLANTATION,J HEART LUNG TRANSPL,6.4,7.7,Q1,5.9,1.6,184,13731,CARDIAC & CARDIOVASCULAR SYSTEMS|RESPIRATORY SYSTEM|SURGERY|TRANSPLANTATION
Case Studies in Thermal Engineering,CASE STUD THERM ENG,6.4,6.1,Q1,5.6,2,1217,18072,THERMODYNAMICS
Advanced Materials Technologies,ADV MATER TECHNOL-US,6.4,8,Q1,6.1,1.3,706,18469,"MATERIALS SCIENCE, MULTIDISCIPLINARY"
POSTHARVEST BIOLOGY AND TECHNOLOGY,POSTHARVEST BIOL TEC,6.4,6.9,Q1,5.2,1,405,21598,AGRONOMY|FOOD SCIENCE & TECHNOLOGY|HORTICULTURE
INTERNATIONAL COMMUNICATIONS IN HEAT AND MASS TRANSFER,INT COMMUN HEAT MASS,6.4,5.9,Q1,6.1,1.4,514,22895,MECHANICS|THERMODYNAMICS
INTERNATIONAL JOURNAL OF EPIDEMIOLOGY,INT J EPIDEMIOL,6.4,7.7,Q1,6.3,0.9,151,33131,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH"
INTERNATIONAL JOURNAL OF RADIATION ONCOLOGY BIOLOGY PHYSICS,INT J RADIAT ONCOL,6.4,6.1,Q1,6,2.1,301,41921,"ONCOLOGY|RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING"
BRITISH JOURNAL OF CANCER,BRIT J CANCER,6.4,8.1,Q1,6.3,1.2,342,49098,ONCOLOGY
JOURNAL OF PERSONALITY AND SOCIAL PSYCHOLOGY,J PERS SOC PSYCHOL,6.4,7.3,Q1,6,1.7,100,79644,"PSYCHOLOGY, SOCIAL"
eLife,ELIFE,6.4,7.2,Q1,6.3,1.6,1297,96957,BIOLOGY
Review of Communication Research,REV COMMUN RES,6.3,6.6,Q1,6.3,N/A,0,279,COMMUNICATION
Molecular Biomedicine,MOL BIOMED,6.3,6.2,Q1,6.1,0.7,25,608,"BIOCHEMISTRY & MOLECULAR BIOLOGY|CELL BIOLOGY|MEDICINE, RESEARCH & EXPERIMENTAL"
Annual Review of Criminology,ANNU REV CRIMINOL,6.3,8.5,Q1,6.1,3.2,20,902,CRIMINOLOGY & PENOLOGY
Smart Agricultural Technology,SMART AGR TECHNOL,6.3,6.3,Q1,5.8,2.4,301,1116,"AGRICULTURAL ENGINEERING|AGRICULTURE, MULTIDISCIPLINARY|AGRONOMY"
npj Science of Food,NPJ SCI FOOD,6.3,6.8,Q1,6.1,1.1,51,1163,FOOD SCIENCE & TECHNOLOGY
Information Technology & Tourism,INF TECHNOL TOUR,6.3,6.9,Q1,5.8,0.7,37,1181,"HOSPITALITY, LEISURE, SPORT & TOURISM"
Burns & Trauma,BURNS TRAUMA,6.3,6.7,Q1,6,1.1,36,2051,DERMATOLOGY|EMERGENCY MEDICINE|SURGERY
Machine Learning-Science and Technology,MACH LEARN-SCI TECHN,6.3,6.4,Q1,5.9,0.7,192,2161,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE|COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS|MULTIDISCIPLINARY SCIENCES"
Communication Methods and Measures,COMMUN METHODS MEAS,6.3,12.3,Q1,5.3,1.1,26,2189,COMMUNICATION
Borsa Istanbul Review,BORSA ISTANB REV,6.3,6.5,Q1,5.9,2.3,111,2314,"BUSINESS, FINANCE|ECONOMICS"
IEEE Open Journal of the Communications Society,IEEE OPEN J COMM SOC,6.3,6.9,Q1,6,0.8,160,2940,"ENGINEERING, ELECTRICAL & ELECTRONIC|TELECOMMUNICATIONS"
Travel Medicine and Infectious Disease,TRAVEL MED INFECT DI,6.3,5.9,Q1,6,1.8,67,3940,"INFECTIOUS DISEASES|PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH"
American Economic Journal-Macroeconomics,AM ECON J-MACROECON,6.3,7,Q1,6.1,1.9,55,4007,ECONOMICS
Molecular Autism,MOL AUTISM,6.3,6.5,Q1,6.1,1,42,4244,GENETICS & HEREDITY|NEUROSCIENCES
Friction,FRICTION,6.3,6.6,Q1,5.7,2.7,104,4453,"ENGINEERING, MECHANICAL"
International Journal of Bank Marketing,INT J BANK MARK,6.3,6.3,Q1,4.9,1.1,88,4511,BUSINESS
FOREIGN AFFAIRS,FOREIGN AFF,6.3,4.6,Q1,6.3,13.5,10,4612,INTERNATIONAL RELATIONS
Journal of Animal Science and Biotechnology,J ANIM SCI BIOTECHNO,6.3,6.4,Q1,6.1,1.1,139,5803,"AGRICULTURE, DAIRY & ANIMAL SCIENCE"
International Journal of Stroke,INT J STROKE,6.3,6.3,Q1,5.8,1.4,84,7547,CLINICAL NEUROLOGY|PERIPHERAL VASCULAR DISEASE
CALIFORNIA MANAGEMENT REVIEW,CALIF MANAGE REV,6.3,17.3,Q1,6,0.9,29,7677,BUSINESS|MANAGEMENT
Research in International Business and Finance,RES INT BUS FINANC,6.3,5.8,Q1,5.4,1.7,282,7837,"BUSINESS, FINANCE"
NEOPLASIA,NEOPLASIA,6.3,5.4,Q1,6.2,0.9,74,8208,ONCOLOGY
PROGRESS IN HUMAN GEOGRAPHY,PROG HUM GEOG,6.3,8.3,Q1,5.8,1.2,58,9274,GEOGRAPHY
Current Opinion in Psychology,CURR OPIN PSYCHOL,6.3,7.2,Q1,6.1,0.8,8,10709,"PSYCHOLOGY, MULTIDISCIPLINARY"
JOURNAL OF HEALTH AND SOCIAL BEHAVIOR,J HEALTH SOC BEHAV,6.3,7.2,Q1,5.9,0.4,43,10796,"PSYCHOLOGY, SOCIAL|PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH|SOCIAL SCIENCES, BIOMEDICAL|SOCIOLOGY"
CLINICAL AND EXPERIMENTAL ALLERGY,CLIN EXP ALLERGY,6.3,5.2,Q1,5.9,1.6,51,10940,ALLERGY
CLINICAL AND EXPERIMENTAL ALLERGY,CLIN EXP ALLERGY,6.3,5.2,Q2,5.9,1.6,51,10940,IMMUNOLOGY
Transport Policy,TRANSPORT POLICY,6.3,5.9,Q1,5.9,0.9,228,12131,ECONOMICS|TRANSPORTATION
Innovative Food Science & Emerging Technologies,INNOV FOOD SCI EMERG,6.3,6.5,Q1,6,1.3,220,15009,FOOD SCIENCE & TECHNOLOGY
Systematic Reviews,SYST REV-LONDON,6.3,4.5,Q1,6.2,0.8,35,16981,"MEDICINE, GENERAL & INTERNAL"
ISA TRANSACTIONS,ISA T,6.3,5.9,Q1,5.6,1.9,595,17196,"AUTOMATION & CONTROL SYSTEMS|ENGINEERING, MULTIDISCIPLINARY|INSTRUMENTS & INSTRUMENTATION"
IEEE Transactions on Information Forensics and Security,IEEE T INF FOREN SEC,6.3,7.3,Q1,5.6,1.4,420,17497,"COMPUTER SCIENCE, THEORY & METHODS|ENGINEERING, ELECTRICAL & ELECTRONIC"
GLOBAL ECOLOGY AND BIOGEOGRAPHY,GLOBAL ECOL BIOGEOGR,6.3,7.7,Q1,6.1,0.9,165,17766,"ECOLOGY|GEOGRAPHY, PHYSICAL"
CLINICAL PHARMACOLOGY & THERAPEUTICS,CLIN PHARMACOL THER,6.3,6.2,Q1,5.8,1.1,194,18906,PHARMACOLOGY & PHARMACY
TRANSPORTATION RESEARCH PART A-POLICY AND PRACTICE,TRANSPORT RES A-POL,6.3,6.9,Q1,5.7,1.1,279,20629,ECONOMICS|TRANSPORTATION|TRANSPORTATION SCIENCE & TECHNOLOGY
Journal of Water Process Engineering,J WATER PROCESS ENG,6.3,6.3,Q1,5.7,1.3,1168,21829,"ENGINEERING, CHEMICAL|WATER RESOURCES"
Journal of Water Process Engineering,J WATER PROCESS ENG,6.3,6.3,Q2,5.7,1.3,1168,21829,"ENGINEERING, ENVIRONMENTAL"
Methods in Ecology and Evolution,METHODS ECOL EVOL,6.3,8.9,Q1,6,1.2,196,24981,ECOLOGY
JCI Insight,JCI INSIGHT,6.3,7.5,Q1,6.2,1.4,502,25162,"MEDICINE, RESEARCH & EXPERIMENTAL"
POLYMER DEGRADATION AND STABILITY,POLYM DEGRAD STABIL,6.3,5.9,Q1,5.7,1.4,292,29007,POLYMER SCIENCE
SOLAR ENERGY MATERIALS AND SOLAR CELLS,SOL ENERG MAT SOL C,6.3,6,Q1,5.8,1.4,392,34234,"MATERIALS SCIENCE, MULTIDISCIPLINARY|PHYSICS, APPLIED"
SOLAR ENERGY MATERIALS AND SOLAR CELLS,SOL ENERG MAT SOL C,6.3,6,Q2,5.8,1.4,392,34234,ENERGY & FUELS
COMPOSITE STRUCTURES,COMPOS STRUCT,6.3,5.9,Q1,5.7,1.5,975,69794,"MATERIALS SCIENCE, COMPOSITES|MECHANICS"
APPLIED SURFACE SCIENCE,APPL SURF SCI,6.3,5.9,Q1,6,1.9,2600,178149,"MATERIALS SCIENCE, COATINGS & FILMS|PHYSICS, APPLIED|PHYSICS, CONDENSED MATTER"
APPLIED SURFACE SCIENCE,APPL SURF SCI,6.3,5.9,Q2,6,1.9,2600,178149,"CHEMISTRY, PHYSICAL"
Digital Discovery,DIGIT DISCOV,6.2,6.2,Q1,5.2,1.2,169,650,"CHEMISTRY, MULTIDISCIPLINARY|COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS"
ImmunoTargets and Therapy,IMMUNOTARGETS THER,6.2,8.1,Q1,6.2,0.7,8,780,IMMUNOLOGY
Environmental Microbiome,ENVIRON MICROBIOME,6.2,7.1,Q1,6.1,1,80,844,GENETICS & HEREDITY|MICROBIOLOGY
Developments in the Built Environment,DEV BUILT ENVIRON,6.2,7.5,Q1,5.5,1.8,175,1127,"CONSTRUCTION & BUILDING TECHNOLOGY|ENGINEERING, CIVIL"
ChemBioEng Reviews,CHEMBIOENG REV,6.2,6.2,Q1,6,0.6,38,1452,"ENGINEERING, CHEMICAL"
Carbohydrate Polymer Technologies and Applications,CARBOHYDR POLYM TECH,6.2,6.2,Q1,6.1,1.4,107,1796,"CHEMISTRY, APPLIED|POLYMER SCIENCE"
Advanced Energy and Sustainability Research,ADV ENERG SUST RES,6.2,6.1,Q1,6.1,0.9,112,2130,"MATERIALS SCIENCE, MULTIDISCIPLINARY"
Advanced Energy and Sustainability Research,ADV ENERG SUST RES,6.2,6.1,Q2,6.1,0.9,112,2130,ENERGY & FUELS|GREEN & SUSTAINABLE SCIENCE & TECHNOLOGY
Current Research in Food Science,CURR RES FOOD SCI,6.2,6.2,Q1,6,1.2,215,2812,FOOD SCIENCE & TECHNOLOGY
ALLERGOLOGY INTERNATIONAL,ALLERGOL INT,6.2,6.6,Q1,5.9,2.6,40,3646,ALLERGY|IMMUNOLOGY
CRITICAL REVIEWS IN BIOCHEMISTRY AND MOLECULAR BIOLOGY,CRIT REV BIOCHEM MOL,6.2,8.6,Q1,6.2,1.3,0,3999,BIOCHEMISTRY & MOLECULAR BIOLOGY
Journal of Intellectual Capital,J INTELLECT CAP,6.2,6.8,Q1,5.5,0.5,28,4104,BUSINESS|MANAGEMENT
International Entrepreneurship and Management Journal,INT ENTREP MANAG J,6.2,7.1,Q1,5.4,1.3,99,4620,BUSINESS|MANAGEMENT
SOCIO-ECONOMIC PLANNING SCIENCES,SOCIO-ECON PLAN SCI,6.2,5.9,Q1,5.5,1.8,286,5526,ECONOMICS|MANAGEMENT|OPERATIONS RESEARCH & MANAGEMENT SCIENCE
Circulation-Cardiovascular Quality and Outcomes,CIRC-CARDIOVASC QUAL,6.2,8.3,Q1,6,1.4,67,7534,CARDIAC & CARDIOVASCULAR SYSTEMS
Acta Neuropathologica Communications,ACTA NEUROPATHOL COM,6.2,6.8,Q1,6,1.1,179,9132,NEUROSCIENCES
SEMINARS IN CELL & DEVELOPMENTAL BIOLOGY,SEMIN CELL DEV BIOL,6.2,6.9,Q1,6.1,2.2,0,14888,CELL BIOLOGY|DEVELOPMENTAL BIOLOGY
JOURNAL OF ORGANIZATIONAL BEHAVIOR,J ORGAN BEHAV,6.2,9.4,Q1,6,0.8,55,18578,"BUSINESS|MANAGEMENT|PSYCHOLOGY, APPLIED"
Alexandria Engineering Journal,ALEX ENG J,6.2,5.6,Q1,5.8,1.8,875,20244,"ENGINEERING, MULTIDISCIPLINARY"
Future Generation Computer Systems-The International Journal of eScience,FUTURE GENER COMP SY,6.2,5.9,Q1,5.9,1.3,364,23079,"COMPUTER SCIENCE, THEORY & METHODS"
CELLULAR AND MOLECULAR LIFE SCIENCES,CELL MOL LIFE SCI,6.2,7.7,Q1,6.1,1.1,308,36916,BIOCHEMISTRY & MOLECULAR BIOLOGY|CELL BIOLOGY
GENOME RESEARCH,GENOME RES,6.2,8.4,Q1,6.1,1.1,132,42910,BIOCHEMISTRY & MOLECULAR BIOLOGY|BIOTECHNOLOGY & APPLIED MICROBIOLOGY|GENETICS & HEREDITY
Journal of Materials Research and Technology-JMR&T,J MATER RES TECHNOL,6.2,6.3,Q1,5.4,1.5,3213,43039,"MATERIALS SCIENCE, MULTIDISCIPLINARY|METALLURGY & METALLURGICAL ENGINEERING"
DIABETES,DIABETES,6.2,7.1,Q1,6.1,2.4,152,47658,ENDOCRINOLOGY & METABOLISM
PLANT JOURNAL,PLANT J,6.2,7.1,Q1,5.9,1.3,457,54794,PLANT SCIENCES
IEEE TRANSACTIONS ON AUTOMATIC CONTROL,IEEE T AUTOMAT CONTR,6.2,6.6,Q1,5.7,2.8,758,61239,"AUTOMATION & CONTROL SYSTEMS|ENGINEERING, ELECTRICAL & ELECTRONIC"
ECOTOXICOLOGY AND ENVIRONMENTAL SAFETY,ECOTOX ENVIRON SAFE,6.2,6.3,Q1,5.9,1.2,1283,61521,ENVIRONMENTAL SCIENCES|TOXICOLOGY
PEDIATRICS,PEDIATRICS,6.2,7.1,Q1,5.9,1.6,407,79027,PEDIATRICS
Chemical Physics Reviews,CHEM PHYS REV,6.1,N/A,N/A,5.9,1.1,1,461,"CHEMISTRY, PHYSICAL|PHYSICS, ATOMIC, MOLECULAR & CHEMICAL"
Cleaner Environmental Systems,CLEAN ENVIRON SYST,6.1,6.1,Q1,6,0.8,54,639,ENVIRONMENTAL SCIENCES|ENVIRONMENTAL STUDIES
Cleaner Environmental Systems,CLEAN ENVIRON SYST,6.1,6.1,Q2,6,0.8,54,639,"ENGINEERING, ENVIRONMENTAL|GREEN & SUSTAINABLE SCIENCE & TECHNOLOGY"
ChemistryMethods,CHEM METHODS,6.1,N/A,N/A,6,0.9,26,694,"CHEMISTRY, MULTIDISCIPLINARY"
Current Opinion in Toxicology,CURR OPIN TOXICOL,6.1,N/A,N/A,6.1,0.4,28,1497,TOXICOLOGY
Hepatobiliary Surgery and Nutrition,HEPATOBIL SURG NUTR,6.1,6.5,Q1,5.4,1.3,27,1934,GASTROENTEROLOGY & HEPATOLOGY|NUTRITION & DIETETICS|SURGERY
Progress in Electromagnetics Research-PIER,PROG ELECTROMAGN RES,6.1,4.3,Q1,5.8,1.4,30,2484,TELECOMMUNICATIONS
Progress in Electromagnetics Research-PIER,PROG ELECTROMAGN RES,6.1,4.3,Q2,5.8,1.4,30,2484,"ENGINEERING, ELECTRICAL & ELECTRONIC|PHYSICS, APPLIED"
JOURNAL OF INVESTIGATIONAL ALLERGOLOGY AND CLINICAL IMMUNOLOGY,J INVEST ALLERG CLIN,6.1,6.3,Q1,5.2,2.2,36,2623,ALLERGY|IMMUNOLOGY
Reviews of Environmental Contamination and Toxicology,REV ENVIRON CONTAM T,6.1,7.1,Q1,5.9,1.8,0,3013,ENVIRONMENTAL SCIENCES|TOXICOLOGY
Bioengineering & Translational Medicine,BIOENG TRANSL MED,6.1,7.2,Q1,5.9,0.9,131,3098,"ENGINEERING, BIOMEDICAL"
World Journal of Pediatrics,WORLD J PEDIATR,6.1,5.4,Q1,6,1.1,72,3207,PEDIATRICS
Weather and Climate Extremes,WEATHER CLIM EXTREME,6.1,7.3,Q1,6,1.1,90,3737,METEOROLOGY & ATMOSPHERIC SCIENCES
Building Simulation,BUILD SIMUL-CHINA,6.1,5.2,Q1,5,0.9,119,3984,CONSTRUCTION & BUILDING TECHNOLOGY|THERMODYNAMICS
Journal of Financial Stability,J FINANC STABIL,6.1,5.4,Q1,5.8,0.5,69,4056,"BUSINESS, FINANCE|ECONOMICS"
Journal of Pharmaceutical Analysis,J PHARM ANAL,6.1,6.8,Q1,5.9,2,81,4263,PHARMACOLOGY & PHARMACY
INFECTIOUS DISEASE CLINICS OF NORTH AMERICA,INFECT DIS CLIN N AM,6.1,6.3,Q1,6.1,0.9,45,4291,IMMUNOLOGY|INFECTIOUS DISEASES
Animal Nutrition,ANIM NUTR,6.1,6.5,Q1,5.8,1.6,124,4353,"AGRICULTURE, DAIRY & ANIMAL SCIENCE|VETERINARY SCIENCES"
Nanotechnology Reviews,NANOTECHNOL REV,6.1,6.8,Q1,5.8,1.1,94,4524,"CHEMISTRY, MULTIDISCIPLINARY|MATERIALS SCIENCE, MULTIDISCIPLINARY|PHYSICS, APPLIED"
Nanotechnology Reviews,NANOTECHNOL REV,6.1,6.8,Q2,5.8,1.1,94,4524,NANOSCIENCE & NANOTECHNOLOGY
BEST PRACTICE & RESEARCH CLINICAL ENDOCRINOLOGY & METABOLISM,BEST PRACT RES CL EN,6.1,6.3,Q1,6.1,2,61,5101,ENDOCRINOLOGY & METABOLISM
Frontiers of Environmental Science & Engineering,FRONT ENV SCI ENG,6.1,5.2,Q1,5.3,2.5,124,5113,ENVIRONMENTAL SCIENCES
Frontiers of Environmental Science & Engineering,FRONT ENV SCI ENG,6.1,5.2,Q2,5.3,2.5,124,5113,"ENGINEERING, ENVIRONMENTAL"
Cell and Bioscience,CELL BIOSCI,6.1,7,Q1,6,1,171,6413,BIOCHEMISTRY & MOLECULAR BIOLOGY
APOPTOSIS,APOPTOSIS,6.1,5.6,Q1,5.8,1.3,89,6525,BIOCHEMISTRY & MOLECULAR BIOLOGY
APOPTOSIS,APOPTOSIS,6.1,5.6,Q2,5.8,1.3,89,6525,CELL BIOLOGY
Artificial Intelligence in Medicine,ARTIF INTELL MED,6.1,7.1,Q1,5.7,0.8,155,6764,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE|ENGINEERING, BIOMEDICAL|MEDICAL INFORMATICS"
Circulation-Cardiovascular Interventions,CIRC-CARDIOVASC INTE,6.1,6.5,Q1,5.9,1.4,58,6964,CARDIAC & CARDIOVASCULAR SYSTEMS
PRODUCTION PLANNING & CONTROL,PROD PLAN CONTROL,6.1,8,Q1,5.1,0.9,90,7386,"ENGINEERING, INDUSTRIAL|ENGINEERING, MANUFACTURING|OPERATIONS RESEARCH & MANAGEMENT SCIENCE"
EUROPEAN NEUROPSYCHOPHARMACOLOGY,EUR NEUROPSYCHOPHARM,6.1,5.3,Q1,5.6,2,61,8533,CLINICAL NEUROLOGY|NEUROSCIENCES|PHARMACOLOGY & PHARMACY|PSYCHIATRY
Cell Death Discovery,CELL DEATH DISCOV,6.1,6,Q2,6,1.2,365,8655,CELL BIOLOGY
JOURNAL OF COMMUNICATION,J COMMUN,6.1,7.4,Q1,5.9,1.3,43,9922,COMMUNICATION
Ecosystem Services,ECOSYST SERV,6.1,6.9,Q1,5.8,1.3,73,10137,ECOLOGY|ENVIRONMENTAL SCIENCES|ENVIRONMENTAL STUDIES
MICROBIOLOGICAL RESEARCH,MICROBIOL RES,6.1,6.5,Q1,6,1.1,181,10865,MICROBIOLOGY
CURRENT OPINION IN STRUCTURAL BIOLOGY,CURR OPIN STRUC BIOL,6.1,6,Q1,5.9,1.8,163,11970,BIOCHEMISTRY & MOLECULAR BIOLOGY
CURRENT OPINION IN STRUCTURAL BIOLOGY,CURR OPIN STRUC BIOL,6.1,6,Q2,5.9,1.8,163,11970,CELL BIOLOGY
AGRICULTURAL SYSTEMS,AGR SYST,6.1,6.4,Q1,5.7,1,153,12430,"AGRICULTURE, MULTIDISCIPLINARY"
BREAST CANCER RESEARCH,BREAST CANCER RES,6.1,7.1,Q1,6,0.9,134,12517,ONCOLOGY
PUBLIC ADMINISTRATION REVIEW,PUBLIC ADMIN REV,6.1,7.5,Q1,4.3,1.4,125,13044,PUBLIC ADMINISTRATION
Biotechnology for Biofuels,BIOTECHNOL BIOFUELS,6.1,6,Q1,6.1,N/A,0,13355,BIOTECHNOLOGY & APPLIED MICROBIOLOGY
Biotechnology for Biofuels,BIOTECHNOL BIOFUELS,6.1,6,Q2,6.1,N/A,0,13355,ENERGY & FUELS
ULTRASOUND IN OBSTETRICS & GYNECOLOGY,ULTRASOUND OBST GYN,6.1,6.4,Q1,5.3,2.1,149,16824,"ACOUSTICS|OBSTETRICS & GYNECOLOGY|RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING"
MOLECULAR & CELLULAR PROTEOMICS,MOL CELL PROTEOMICS,6.1,6,Q1,5.8,1.3,144,16834,BIOCHEMICAL RESEARCH METHODS
Inorganic Chemistry Frontiers,INORG CHEM FRONT,6.1,5.9,Q1,5.7,1.9,564,17339,"CHEMISTRY, INORGANIC & NUCLEAR"
